home_scoring_offense,home_scoring_defense,away_scoring_offense,away_scoring_defense,qbelo1_pre,qbelo2_pre,Home_Win
-3.496794872,6.21474359,-5.288461538,0.233974359,1441.082689,1528.534528,1
-0.932692308,-0.810897436,-3.862179487,-2.967948718,1417.000766,1409.551587,1
-2.253205128,-3.657051282,3.442307692,2.009615385,1489.721694,1356.335492,1
1.054487179,-1.355769231,-9.08974359,3.916666667,1522.023577,1490.784151,1
5.096153846,1.067307692,3.689102564,-7.756410256,1537.321214,1561.10532,0
1.182692308,-3.301282051,2.016025641,-4.08974359,1568.459173,1575.37372,0
0.112179487,-2.592948718,3.737179487,-2.929487179,1425.208388,1600.077123,1
3.689102564,-7.756410256,-1.724358974,3.599358974,1583.34662,1393.054684,1
0.025641026,-1.855769231,1.923076923,-7.272435897,1523.177221,1546.808306,0
0.173076923,2.766025641,-4.971153846,1.201923077,1385.835779,1332.205057,1
1.900641026,4.919871795,-2.253205128,-3.657051282,1558.230079,1498.108987,0
4.294871795,-2.926282051,-3.647435897,6.336538462,1532.704458,1512.03682,1
1.092948718,3.429487179,2.016025641,-4.08974359,1480.57477,1583.491372,1
-4.179487179,-2.730769231,-3.096153846,-2.746794872,1551.485594,1520.271514,0
-1.836538462,6.275641026,-3.496794872,6.21474359,1442.612027,1477.703306,1
3.442307692,2.009615385,5.096153846,1.067307692,1347.9482,1515.079914,0
1.182692308,-3.301282051,12.05128205,-1.336538462,1560.34152,1575.254932,1
-3.756410256,-0.349358974,1.900641026,4.230769231,1486.049254,1549.59364,0
-3.862179487,-2.967948718,0.112179487,-2.592948718,1398.454575,1454.594204,0
3.256410256,-0.576923077,1.054487179,-1.355769231,1570.804069,1540.450778,1
3.737179487,-2.929487179,-1.099358974,3.182692308,1570.691307,1468.948954,1
-9.08974359,3.916666667,-0.932692308,-0.810897436,1472.35695,1428.097778,0
-5.288461538,0.233974359,2.28525641,-0.128205128,1491.913911,1620.84982,0
1.900641026,4.230769231,1.900641026,4.919871795,1563.643909,1528.730106,0
-0.932692308,-0.810897436,1.923076923,-7.272435897,1462.445578,1573.445666,0
1.054487179,-1.355769231,0.025641026,-1.855769231,1518.994026,1496.53986,0
12.05128205,-1.336538462,-1.724358974,3.599358974,1550.003272,1381.692955,1
0.112179487,-2.592948718,-5.288461538,0.233974359,1467.831562,1483.107628,1
-3.647435897,6.336538462,0.173076923,2.766025641,1488.779824,1393.010698,1
-4.179487179,-2.730769231,3.442307692,2.009615385,1529.618955,1337.94441,1
-1.836538462,6.275641026,3.256410256,-0.576923077,1468.918352,1592.260821,0
-4.971153846,1.201923077,-3.756410256,-0.349358974,1325.030138,1471.998985,1
-3.496794872,6.21474359,3.737179487,-2.929487179,1451.396982,1587.526441,1
2.016025641,-4.08974359,-3.862179487,-2.967948718,1563.590658,1385.217217,1
2.28525641,-0.128205128,4.294871795,-2.926282051,1629.656103,1555.961455,0
-3.096153846,-2.746794872,1.182692308,-3.301282051,1542.138153,1585.593181,0
-1.099358974,3.182692308,5.096153846,1.067307692,1452.11382,1525.083703,0
-9.08974359,3.916666667,1.092948718,3.429487179,1438.009151,1500.475485,0
-2.253205128,-3.657051282,3.689102564,-7.756410256,1527.60896,1594.708349,1
1.923076923,-7.272435897,2.016025641,-4.08974359,1598.833943,1574.291507,0
4.294871795,-2.926282051,-5.288461538,0.233974359,1576.601806,1456.077908,1
3.689102564,-7.756410256,3.442307692,2.009615385,1580.389358,1328.006838,1
-1.099358974,3.182692308,3.256410256,-0.576923077,1420.067611,1612.5577,1
2.28525641,-0.128205128,-9.08974359,3.916666667,1609.015751,1409.597343,1
0.025641026,-1.855769231,-1.836538462,6.275641026,1534.806469,1448.621473,0
-1.724358974,3.599358974,1.182692308,-3.301282051,1373.26283,1608.304637,0
-4.971153846,1.201923077,-3.496794872,6.21474359,1360.381679,1478.295645,1
3.737179487,-2.929487179,-3.647435897,6.336538462,1560.627778,1493.043989,1
5.096153846,1.067307692,-3.756410256,-0.349358974,1557.129912,1436.647444,0
1.054487179,-1.355769231,-2.253205128,-3.657051282,1480.727417,1541.927951,1
0.173076923,2.766025641,1.900641026,4.230769231,1388.746533,1528.555232,0
-3.862179487,-2.967948718,1.092948718,3.429487179,1374.516368,1528.887292,1
-3.096153846,-2.746794872,12.05128205,-1.336538462,1519.426697,1558.433397,0
-5.288461538,0.233974359,5.096153846,1.067307692,1451.220696,1529.552736,0
1.900641026,4.230769231,1.054487179,-1.355769231,1543.581512,1509.12923,0
3.442307692,2.009615385,-4.971153846,1.201923077,1325.3491,1393.671821,1
-3.862179487,-2.967948718,4.294871795,-2.926282051,1390.554894,1581.459018,0
-9.08974359,3.916666667,-2.253205128,-3.657051282,1405.832452,1513.526138,0
1.900641026,4.919871795,0.025641026,-1.855769231,1563.818783,1507.240397,0
0.173076923,2.766025641,3.737179487,-2.929487179,1373.720253,1578.554001,1
3.256410256,-0.576923077,0.112179487,-2.592948718,1590.245532,1494.861282,1
-1.724358974,3.599358974,-1.099358974,3.182692308,1357.520049,1442.379779,0
1.092948718,3.429487179,-0.932692308,-0.810897436,1512.848767,1437.0573,0
-3.647435897,6.336538462,2.28525641,-0.128205128,1475.117767,1612.780643,1
2.016025641,-4.08974359,-1.836538462,6.275641026,1593.415814,1476.187545,1
-3.756410256,-0.349358974,3.689102564,-7.756410256,1464.224619,1583.047096,1
1.182692308,-3.301282051,-4.179487179,-2.730769231,1624.047417,1539.556527,1
-2.253205128,-3.657051282,-3.496794872,6.21474359,1542.624503,1445.005503,0
1.900641026,4.230769231,0.112179487,-2.592948718,1500.51699,1481.650289,1
-1.836538462,6.275641026,1.182692308,-3.301282051,1461.890794,1637.335126,0
