Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       11,1905,10845,221130,     20.39,131225,12.1,89905,701000,     64.64,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,176020,     20.42,88355,10.25,87665,458000,     53.13
MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       11,1931,9415,129080,     13.71,61951,6.58,67129,478000,     50.77,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,131369,     15.24,68874,7.99,62495,458000,     53.13
MORRISANIA/LONGWOOD,C6  -WALK-UP,       46,1928,46210,645092,     13.96,400179,8.66,244913,1755000,     37.98,2-02608-0032,3414 3 AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       14,1910,10850,122714,     11.31,78554,7.24,44160,294000,     27.10
MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1920,12651,192801,     15.24,101081,7.99,91720,673000,     53.20,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,131369,     15.24,68874,7.99,62495,458000,     53.13
MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1912,17220,245729,     14.27,150675,8.75,95054,685000,     39.78,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,529390,     12.68,327320,7.84,202070,1405000,     33.65
MELROSE/CONCOURSE,C6  -WALK-UP,       12,1918,6948,125620,     18.08,62810,9.04,62810,479000,     68.94,2-02397-0050,363 EAST 150 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       15,1991,6376,115278,     18.08,56491,8.86,58787,449000,     70.42
MELROSE/CONCOURSE,C6  -WALK-UP,       12,1918,7560,136685,     18.08,69023,9.13,67662,516000,     68.25,2-02397-0050,363 EAST 150 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       15,1991,6376,115278,     18.08,56491,8.86,58787,449000,     70.42
MELROSE/CONCOURSE,C6  -WALK-UP,       11,1931,10675,139202,     13.04,84973,7.96,54229,380000,     35.60,2-02398-0009,356 EAST 152 STREET,MELROSE/CONCOURSE,C7  -WALK-UP,       14,1920,12850,156513,     12.18,100230,7.8,56283,385000,     29.96
MELROSE/CONCOURSE,C6  -WALK-UP,       37,1920,33055,494503,     14.96,294851,8.92,199652,1458000,     44.11,2-02402-0024,397 EAST 155 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       12,1931,7012,100131,     14.28,54904,7.83,45227,317000,     45.21
MELROSE/CONCOURSE,C6  -WALK-UP,       12,1913,11500,192165,     16.71,86480,7.52,105685,793000,     68.96,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,7420,122801,     16.55,71603,9.65,51198,562000,     75.74
MELROSE/CONCOURSE,D4  -ELEVATOR,      937,1964,876500,14567430,     16.62,8694880,9.92,5872550,44002000,     50.20,2-02338-0003,2862 PARK AVENUE,MELROSE/CONCOURSE,D7  -ELEVATOR,      520,1974,547382,11412915,     20.85,6163521,11.26," 5,249,393",41434000,     75.69
MELROSE/CONCOURSE,D4  -ELEVATOR,      936,1963,862500,14248500,     16.52,7693500,8.92,6555000,49056000,     56.88,2-02441-0001,2950 PARK AVENUE,MELROSE/CONCOURSE,D3  -ELEVATOR,      216,1983,257718,4257501,     16.52,2056590,7.98," 2,200,912",16663000,     64.66
MELROSE/CONCOURSE,D4  -ELEVATOR,       67,1958,80009,1270543,     15.88,788089,9.85,482454,3580000,     44.74,2-02454-0011,910 SHERIDAN AVENUE,MELROSE/CONCOURSE,D7  -ELEVATOR,       76,1948,84826,1402174,     16.53,799061,9.42,603113,4515000,     53.23
MELROSE/CONCOURSE,C6  -WALK-UP,       70,1926,57080,706650,     12.38,395564,6.93,311086,2143000,     37.54,2-02913-0042,1575 BATHGATE AVENUE,BATHGATE,C7  -WALK-UP,       11,1931,10765,125089,     11.62,62545,5.81,62545,421000,     39.11
MELROSE/CONCOURSE,D4  -ELEVATOR,       81,2008,93570,1416650,     15.14,804702,8.6,611948,4481000,     47.89,2-02453-0061,232 EAST 169 STREET,MELROSE/CONCOURSE,D7  -ELEVATOR,       35,2012,34754,530346,     15.26,222773,6.41,307573,2258000,     64.97
MELROSE/CONCOURSE,C6  -WALK-UP,       31,1918,19955,419853,     21.04,234671,11.76,185182,1451000,     72.71,2-02427-0044,1241 WEBSTER AVENUE,MELROSE/CONCOURSE,C4  -WALK-UP,       16,1929,7420,159827,     21.54,94086,12.68,65741,562000,     75.74
MELROSE/CONCOURSE,D4  -ELEVATOR,      260,1954,252105,3471486,     13.77,1870619,7.42,1600867,11410000,     45.26,2-02461-0007,930 GRAND CONCOURSE,MELROSE/CONCOURSE,D7  -ELEVATOR,      115,1948,135870,1862778,     13.71,922557,6.79,940220,8528000,     62.77
MELROSE/CONCOURSE,D4  -ELEVATOR,      120,1941,115140,1751279,     15.21,1068499,9.28,682780,5009000,     43.50,2-02841-0001,15 MARCY PLACE,MELROSE/CONCOURSE,D7  -ELEVATOR,      148,1928,70120,1051099,     14.99,576386,8.22,474712,3467000,     49.44
MELROSE/CONCOURSE,D4  -ELEVATOR,      108,1929,145728,1818685,     12.48,1164367,7.99,654319,4523000,     31.04,2-02455-0018,984 SHERIDAN AVENUE,MELROSE/CONCOURSE,D1  -ELEVATOR,       78,1928,86000,1179060,     13.71,505680,5.88,673380,4794000,     55.74
MELROSE/CONCOURSE,D4  -ELEVATOR,       42,1927,45483,619478,     13.62,387970,8.53,231508,1645000,     36.17,2-02442-0060,675 MORRIS AVENUE,MELROSE/CONCOURSE,D7  -ELEVATOR,      141,2006,181170,2467535,     13.62,1545380,8.53,922155,6559000,     36.20
MELROSE/CONCOURSE,D4  -ELEVATOR,      466,1963,428360,6335444,     14.79,3238402,7.56,3097043,22539000,     52.62,2-02474-0046,865 WALTON AVENUE,MELROSE/CONCOURSE,D7  -ELEVATOR,       57,1925,55312,815852,     14.75,408203,7.38,407649,5340000,     96.54
MELROSE/CONCOURSE,D4  -ELEVATOR,       74,1928,107841,1513009,     14.03,967334,8.97,545675,3913000,     36.28,2-02834-0001,1455 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,      291,1923,291840,4581888,     15.70,2947584,10.1," 1,634,304",17557000,     60.16
MELROSE/CONCOURSE,D4  -ELEVATOR,      131,1929,181700,2422061,     13.33,1549901,8.53,872160,6155000,     33.87,2-02456-0140,1150 GRAND CONCOURSE,MELROSE/CONCOURSE,D7  -ELEVATOR,      118,1937,130500,1725210,     13.22,1036170,7.94,689040,3157000,     24.19
MELROSE/CONCOURSE,D4  -ELEVATOR,       61,1941,75000,1053000,     14.04,510000,6.8,543000,3894000,     51.92,2-02461-0007,930 GRAND CONCOURSE,MELROSE/CONCOURSE,D7  -ELEVATOR,      115,1948,135870,1907615,     14.04,923916,6.8,983699,8528000,     62.77
MELROSE/CONCOURSE,D4  -ELEVATOR,       81,1941,92417,1280900,     13.86,691279,7.48,589620,4161000,     45.02,2-02461-0090,1000 GRAND CONCOURSE,MELROSE/CONCOURSE,D8  -ELEVATOR,      107,1935,131600,1670004,     12.69,1060696,8.06,609308,4231000,     32.15
MELROSE/CONCOURSE,D4  -ELEVATOR,      109,1928,118218,1528559,     12.93,948108,8.02,580450,4060000,     34.34,2-02461-0090,1000 GRAND CONCOURSE,MELROSE/CONCOURSE,D8  -ELEVATOR,      107,1935,131600,1670004,     12.69,1060696,8.06,609308,4231000,     32.15
MELROSE/CONCOURSE,D4  -ELEVATOR,       83,1936,119500,1690925,     14.15,1021725,8.55,669200,4809000,     40.24,2-02482-0053,705 GERARD AVENUE,MELROSE/CONCOURSE,D1  -ELEVATOR,       72,1931,68495,980848,     14.32,565769,8.26,415080,2876000,     41.99
MELROSE/CONCOURSE,D4  -ELEVATOR,       54,1924,42660,642460,     15.06,395032,9.26,247428,1809000,     42.41,2-02482-0053,705 GERARD AVENUE,MELROSE/CONCOURSE,D1  -ELEVATOR,       72,1931,68495,1025370,     14.97,631524,9.22,393846,2876000,     41.99
MELROSE/CONCOURSE,D4  -ELEVATOR,       54,1924,44304,575066,     12.98,305255,6.89,269811,1889000,     42.64,2-02473-0033,751 WALTON AVENUE,MELROSE/CONCOURSE,D7  -ELEVATOR,      107,1927,141508,1767435,     12.49,989141,6.99,778294,5376000,     37.99
MELROSE/CONCOURSE,D4  -ELEVATOR,       52,1959,45786,674886,     14.74,404748,8.84,270137,1962000,     42.85,2-02482-0053,705 GERARD AVENUE,MELROSE/CONCOURSE,D1  -ELEVATOR,       72,1931,68495,1025370,     14.97,631524,9.22,393846,2876000,     41.99
MELROSE/CONCOURSE,D4  -ELEVATOR,       59,1940,56400,865740,     15.35,536928,9.52,328812,2418000,     42.87,2-02439-0001,1220 MORRIS AVENUE,MELROSE/CONCOURSE,D7  -ELEVATOR,       56,1930,54646,819144,     14.99,459026,8.4,360117,2633000,     48.18
MELROSE/CONCOURSE,C6  -WALK-UP,       44,1924,51000,798660,     15.66,489090,9.59,309570,2287000,     44.84,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,135679,     15.74,76287,8.85,59392,458000,     53.13
HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       86,1927,114941,1664346,     14.48,798840,6.95,865506,6260000,     54.46,2-02874-0027,1446 PLIMPTON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D7  -ELEVATOR,       63,2014,59880,827542,     13.82,517363,8.64,310178,5361000,     89.53
HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       50,1931,54180,710300,     13.11,400390,7.39,309910,2176000,     40.16,2-02440-0001,2880 PARK AVENUE,MELROSE/CONCOURSE,D3  -ELEVATOR,      160,1982,156504,2051767,     13.11,1156565,7.39,895203,10095000,     64.50
HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       22,1922,23802,346319,     14.55,214456,9.01,131863,955000,     40.12,2-02481-0019,40 EAST 169 STREET,MELROSE/CONCOURSE,C1  -WALK-UP,       40,1926,39600,576180,     14.55,356796,9.01,219384,1589000,     40.13
HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       22,1922,20057,298849,     14.90,168278,8.39,130571,952000,     47.46,2-02478-0058,1069 WALTON AVENUE,MELROSE/CONCOURSE,C1  -WALK-UP,       29,1926,25813,380225,     14.73,231026,8.95,149199,1244000,     48.19
HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,      119,1929,106386,1750050,     16.45,1017050,9.56,733000,5480000,     51.51,2-02872-0252,1604 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5  -ELEVATOR,       29,1921,37830,640084,     16.92,398728,10.54,241355,1584000,     41.87
HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       61,1930,57230,813238,     14.21,480160,8.39,333079,2397000,     41.88,2-02872-0252,1604 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5  -ELEVATOR,       29,1921,37830,537564,     14.21,317394,8.39,220171,1584000,     41.87
HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       15,1907,13425,176405,     13.14,101090,7.53,75314,529000,     39.40,2-02472-0001,149 EAST 165 STREET,MELROSE/CONCOURSE,C7  -WALK-UP,       21,1919,16410,203156,     12.38,113721,6.93,89435,616000,     37.54
HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       36,1926,30800,431508,     14.01,246092,7.99,185416,1330000,     43.18,2-02876-0088,1640 DR M L KING JR BOULEVARD,HIGHBRIDGE/MORRIS HEIGHTS,C1  -WALK-UP,       25,1915,25100,351149,     13.99,147588,5.88,203561,1460000,     58.17
HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       25,1931,27018,446067,     16.51,213442,7.9,232625,1740000,     64.40,2-02872-0252,1604 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5  -ELEVATOR,       29,1921,37830,633274,     16.74,345766,9.14,287508,1584000,     41.87
HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       40,1925,39432,526417,     13.35,313484,7.95,212933,1504000,     38.14,2-02785-0024,1346 MORRIS AVENUE,MELROSE/CONCOURSE,C1  -WALK-UP,       26,1923,24800,323640,     13.05,190216,7.67,133424,934000,     37.66
HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       26,1922,19250,268538,     13.95,161123,8.37,107415,769000,     39.95,2-02876-0088,1640 DR M L KING JR BOULEVARD,HIGHBRIDGE/MORRIS HEIGHTS,C1  -WALK-UP,       25,1915,25100,351149,     13.99,147588,5.88,203561,1460000,     58.17
HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,       38,1928,36900,478593,     12.97,263097,7.13,215496,1506000,     40.81,2-02505-0046,1130 ANDERSON AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D1  -ELEVATOR,       42,1928,40800,483480,     11.85,309672,7.59,173808,1179000,     28.90
HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       21,1910,20750,401513,     19.35,202105,9.74,199408,1528000,     73.64,2-02453-0003,1214 SHERIDAN AVENUE,MELROSE/CONCOURSE,C1  -WALK-UP,       33,1925,27540,508664,     18.47,268240,9.74,240424,1843000,     66.92
HIGHBRIDGE/MORRIS HEIGHTS,D4  -ELEVATOR,      140,1967,182218,2534652,     13.91,1266415,6.95,1268237,9061000,     49.73,2-02786-0017,1421 COLLEGE AVENUE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,      115,2009,79223,721722,      9.11,576743,7.28,144978,5529000,     69.79
HIGHBRIDGE/MORRIS HEIGHTS,C6  -WALK-UP,       21,1926,18750,236438,     12.61,134813,7.19,101625,705000,     37.60,2-02876-0088,1640 DR M L KING JR BOULEVARD,HIGHBRIDGE/MORRIS HEIGHTS,C1  -WALK-UP,       25,1915,25100,351149,     13.99,147588,5.88,203561,1460000,     58.17
MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,       38,1920,25980,395935,     15.24,237457,9.14,158478,1161000,     44.69,2-02382-0039,453 EAST 160 STREET,MORRISANIA/LONGWOOD,C7  -WALK-UP,       36,1925,22200,277944,     12.52,158508,7.14,119436,826000,     37.21
MOTT HAVEN/PORT MORRIS,C6  -WALK-UP,      139,1929,275000,3426500,     12.46,1886500,6.86,1540000,10631000,     38.66,2-02550-0007,218 ST ANNS AVENUE,MOTT HAVEN/PORT MORRIS,C7  -WALK-UP,       16,1910,13440,117734,      8.76,47846,3.56,69888,1244000,     92.56
MORRISANIA/LONGWOOD,C6  -WALK-UP,       29,1924,26742,427337,     15.98,239341,8.95,187996,1396000,     52.20,2-02677-0074,915 PROSPECT AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       18,1907,14600,233308,     15.98,130670,8.95,102638,372000,     25.48
MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1917,24750,311108,     12.57,172508,6.97,138600,960000,     38.79,2-02608-0032,3414 3 AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       14,1910,10850,122714,     11.31,78554,7.24,44160,294000,     27.10
MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1917,24750,300218,     12.13,162113,6.55,138105,945000,     38.18,2-02970-0031,1365 LYMAN PLACE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       26,1914,18920,285881,     15.11,206985,10.94,78896,898000,     47.46
MORRISANIA/LONGWOOD,C6  -WALK-UP,       40,1927,36560,455903,     12.47,280415,7.67,175488,1212000,     33.15,2-02633-0045,1017 TRINITY AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       16,1904,11960,149141,     12.47,95082,7.95,54059,373000,     31.19
MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1905,24930,353258,     14.17,219633,8.81,133625,961000,     38.55,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,10850,114142,     10.52,73129,6.74,41013,266000,     24.52
MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1914,21295,282159,     13.25,183137,8.6,99022,698000,     32.78,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,10850,138121,     12.73,92117,8.49,46004,266000,     24.52
MORRISANIA/LONGWOOD,C6  -WALK-UP,       25,1914,21295,303880,     14.27,179304,8.42,124576,898000,     42.17,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,529390,     12.68,327320,7.84,202070,1405000,     33.65
MORRISANIA/LONGWOOD,D4  -ELEVATOR,      320,1960,292000,4885160,     16.73,2686400,9.2,2198760,16496000,     56.49,2-02674-0051,645 PROSPECT AVENUE,MORRISANIA/LONGWOOD,D1  -ELEVATOR,      109,1985,112536,2551191,     22.67,1428082,12.69," 1,123,109",8882000,     78.93
MORRISANIA/LONGWOOD,C6  -WALK-UP,       13,1905,14516,198289,     13.66,115402,7.95,82886,589000,     40.58,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,10850,142569,     13.14,85173,7.85,57397,266000,     24.52
MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1909,21500,308310,     14.34,168560,7.84,139750,1009000,     46.93,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,10850,149947,     13.82,83979,7.74,65968,266000,     24.52
MORRISANIA/LONGWOOD,C6  -WALK-UP,       35,1912,33790,428457,     12.68,271672,8.04,156786,1089000,     32.23,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,10850,114142,     10.52,73129,6.74,41013,266000,     24.52
MORRISANIA/LONGWOOD,C6  -WALK-UP,       42,1907,25926,532520,     20.54,313186,12.08,219334,1712000,     66.03,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,181020,     21.00,97147,11.27,83873,458000,     53.13
MORRISANIA/LONGWOOD,C6  -WALK-UP,       19,1906,16875,230175,     13.64,112725,6.68,117450,835000,     49.48,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,131369,     15.24,68874,7.99,62495,458000,     53.13
MORRISANIA/LONGWOOD,C6  -WALK-UP,       81,1925,61878,863817,     13.96,509875,8.24,353942,2533000,     40.94,2-02380-0001,802 MELROSE AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       15,1905,8620,131369,     15.24,68874,7.99,62495,458000,     53.13
MORRISANIA/LONGWOOD,C6  -WALK-UP,       21,1916,16950,293574,     17.32,176789,10.43,116786,883000,     52.09,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,723110,     17.32,435453,10.43,287658,1405000,     33.65
MORRISANIA/LONGWOOD,D4  -ELEVATOR,       63,2009,69640,1233324,     17.71,543888,7.81,689436,5240000,     75.24,2-02712-0001,891 FOX STREET,MORRISANIA/LONGWOOD,D3  -ELEVATOR,       30,1913,37641,656083,     17.43,307903,8.18,348179,1375000,     36.53
MORRISANIA/LONGWOOD,C6  -WALK-UP,       38,1907,29664,510517,     17.21,319778,10.78,190740,1441000,     48.58,2-02608-0033,3416 3 AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       13,1910,10850,181087,     16.69,115878,10.68,65209,266000,     24.52
MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1925,16950,274590,     16.20,166619,9.83,107972,804000,     47.43,2-02970-0031,1365 LYMAN PLACE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       26,1914,18920,306504,     16.20,185984,9.83,120520,898000,     47.46
MORRISANIA/LONGWOOD,D4  -ELEVATOR,       50,2008,60373,962949,     15.95,476947,7.9,486003,3606000,     59.73,2-02712-0001,891 FOX STREET,MORRISANIA/LONGWOOD,D3  -ELEVATOR,       30,1913,37641,589834,     15.67,310915,8.26,278920,1375000,     36.53
MORRISANIA/LONGWOOD,C6  -WALK-UP,       18,1989,14000,227640,     16.26,122500,8.75,105140,784000,     56.00,2-02749-0010,1018 HOE AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       20,1909,14450,224409,     15.53,137275,9.5,87134,642000,     44.43
MORRISANIA/LONGWOOD,D4  -ELEVATOR,       42,1915,42000,797580,     18.99,452760,10.78,344820,2656000,     63.24,2-02750-0020,1076 FAILE STREET,MORRISANIA/LONGWOOD,D5  -ELEVATOR,       30,1918,30107,524163,     17.41,305887,10.16,218276,1651000,     54.84
MORRISANIA/LONGWOOD,C6  -WALK-UP,       13,1931,10055,172946,     17.20,81244,8.08,91702,693000,     68.92,2-02608-0032,3414 3 AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       14,1910,10850,186620,     17.20,87668,8.08,98952,294000,     27.10
MORRISANIA/LONGWOOD,C6  -WALK-UP,       54,1924,41010,1061749,     25.89,366219,8.93,695530,5585000,    136.19,2-02732-0026,858 SOUTHERN BOULEVARD,MORRISANIA/LONGWOOD,C7  -WALK-UP,       58,1925,42270,945157,     22.36,427772,10.12,517385,2460000,     58.20
MORRISANIA/LONGWOOD,C6  -WALK-UP,       49,1925,31335,496660,     15.85,292982,9.35,203678,1509000,     48.16,2-02381-0051,462 EAST 160 STREET,MORRISANIA/LONGWOOD,C1  -WALK-UP,       31,1910,17520,277692,     15.85,169243,9.66,108449,803000,     45.83
MORRISANIA/LONGWOOD,C6  -WALK-UP,       16,1931,18300,290055,     15.85,171105,9.35,118950,881000,     48.14,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,529390,     12.68,327320,7.84,202070,1405000,     33.65
MORRISANIA/LONGWOOD,C6  -WALK-UP,       23,1931,20580,341422,     16.59,201478,9.79,139944,1049000,     50.97,2-02970-0031,1365 LYMAN PLACE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       26,1914,18920,306504,     16.20,185984,9.83,120520,898000,     47.46
MORRISANIA/LONGWOOD,C6  -WALK-UP,       18,1931,10220,147986,     14.48,59174,5.79,88812,642000,     62.82,2-02721-0041,1023 LONGWOOD AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       20,1931,20580,273714,     13.30,134182,6.52,139532,985000,     47.86
MORRISANIA/LONGWOOD,C6  -WALK-UP,       31,1925,34875,495574,     14.21,282139,8.09,213435,1536000,     44.04,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,614978,     14.73,341933,8.19,273045,1405000,     33.65
MORRISANIA/LONGWOOD,C6  -WALK-UP,       31,1925,34875,661579,     18.97,370373,10.62,291206,2242000,     64.29,2-03006-0024,1252 WEST FARMS ROAD,MORRISANIA/LONGWOOD,C1  -WALK-UP,       18,1931,28453,665516,     23.39,275141,9.67,390375,1406000,     49.41
MORRISANIA/LONGWOOD,C6  -WALK-UP,       26,1925,21917,301359,     13.75,175994,8.03,125365,893000,     40.74,2-02608-0032,3414 3 AVENUE,MORRISANIA/LONGWOOD,C7  -WALK-UP,       14,1910,10850,149188,     13.75,87126,8.03,62062,294000,     27.10
MORRISANIA/LONGWOOD,C6  -WALK-UP,       58,1923,41874,662865,     15.83,403665,9.64,259200,1920000,     45.85,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,682613,     16.35,350700,8.4,331913,1405000,     33.65
HUNTS POINT,C6  -WALK-UP,       19,1910,14880,222456,     14.95,115618,7.77,106838,779000,     52.35,2-02740-0073,1002 GARRISON AVENUE,HUNTS POINT,C1  -WALK-UP,       21,1910,15915,240953,     15.14,126843,7.97,114111,835000,     52.47
MORRISANIA/LONGWOOD,C6  -WALK-UP,       24,1914,21025,297924,     14.17,181446,8.63,116479,837000,     39.81,2-02970-0031,1365 LYMAN PLACE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       26,1914,18920,306504,     16.20,185984,9.83,120520,898000,     47.46
MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1913,17550,246051,     14.02,153914,8.77,92138,660000,     37.61,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,585335,     14.02,366148,8.77,219188,1405000,     33.65
MORRISANIA/LONGWOOD,C6  -WALK-UP,       20,1913,17550,248684,     14.17,154616,8.81,94068,676000,     38.52,2-02970-0031,1365 LYMAN PLACE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       26,1914,18920,306504,     16.20,185984,9.83,120520,898000,     47.46
MORRISANIA/LONGWOOD,C6  -WALK-UP,       15,1910,14575,206528,     14.17,128406,8.81,78122,562000,     38.56,2-02970-0031,1365 LYMAN PLACE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       26,1914,18920,306504,     16.20,185984,9.83,120520,898000,     47.46
HUNTS POINT,D4  -ELEVATOR,      111,1965,108306,1761056,     16.26,1047319,9.67,713737,5318000,     49.10,2-03623-0020,825 BOYNTON AVENUE,SOUNDVIEW,D3  -ELEVATOR,      484,1969,534849,9456130,     17.68,5311051,9.93," 4,145,080",27120000,     50.71
HUNTS POINT,C6  -WALK-UP,       68,1928,56400,906348,     16.07,502524,8.91,403824,3003000,     53.24,2-02765-0079,667 CASANOVA STREET,HUNTS POINT,C7  -WALK-UP,       86,1920,70400,1099648,     15.62,625152,8.88,474496,2737000,     38.88
HUNTS POINT,C6  -WALK-UP,       48,1927,38720,573830,     14.82,358547,9.26,215283,1567000,     40.47,2-02708-0001,941 LEGGETT AVENUE,MORRISANIA/LONGWOOD,C1  -WALK-UP,       58,1910,41750,618735,     14.82,345690,8.28,273045,1405000,     33.65
MOUNT HOPE/MOUNT EDEN,C6  -WALK-UP,       27,1926,17000,281690,     16.57,152150,8.95,129540,970000,     57.06,2-02908-0017,446 EAST 176 STREET,BATHGATE,C1  -WALK-UP,       24,1931,15536,282444,     18.18,167633,10.79,114811,877000,     56.45
MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       43,1931,33000,613800,     18.60,368280,11.16,245520,1883000,     57.06,2-02863-0007,1988 DAVIDSON AVENUE,MOUNT HOPE/MOUNT EDEN,D1  -ELEVATOR,       16,1925,12200,225212,     18.46,129808,10.64,95404,973000,     79.75
MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       26,1939,32150,572270,     17.80,313784,9.76,258486,1966000,     61.15,2-02801-0031,1882 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D3  -ELEVATOR,       44,1914,41250,753225,     18.26,446738,10.83,306488,2344000,     56.82
MOUNT HOPE/MOUNT EDEN,D4  -ELEVATOR,       25,1931,21080,368057,     17.46,202157,9.59,165900,1257000,     59.63,2-02801-0031,1882 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D3  -ELEVATOR,       44,1914,41250,753225,     18.26,446738,10.83,306488,2344000,     56.82
