Riverdale,Elevator,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income SQFT,Estimated Expense,Expense SQFT,Net Operating Income,Income to Expense Ratio,Market Value,Market Value SQFT
0,0,11,1931,10675,133224,12.48,85293,7.99,47931,1.561957019,329000,30.82
0,0,40,1927,36560,367794,10.06,198155,5.42,169638,1.856092453,1072000,29.32
0,0,25,1914,21295,249790,11.73,159925,7.51,89865,1.56191965,604000,28.36
0,0,11,1914,17100,195966,11.46,125343,7.33,70623,1.563437926,471000,27.54
0,0,35,1912,33790,348037,10.3,204430,6.05,143608,1.702475175,918000,27.17
0,0,20,1915,21750,243165,11.18,155730,7.16,87435,1.561452514,577000,26.53
0,0,50,1926,42455,446627,10.52,274684,6.47,171943,1.625966565,1108000,26.1
0,0,57,1926,39745,420900,10.59,269471,6.78,151428,1.561949152,978000,24.61
0,0,32,1912,26650,273429,10.26,175091,6.57,98339,1.561639376,627000,23.53
1,1,63,1959,54635,1093246,20.01,435987,7.98,657259,2.50751972,5072000,92.83
1,1,252,1954,247247,4855931,19.64,2118907,8.57,2737024,2.291715021,21061000,85.18
1,1,43,1963,33000,624690,18.93,265980,8.06,358710,2.348635236,2740000,83.03
0,1,68,1964,57414,1061585,18.49,445533,7.76,616052,2.382730348,4684000,81.58
1,1,105,1952,126000,2309580,18.33,956340,7.59,1353240,2.415019763,10268000,81.49
1,1,133,1961,167108,3026326,18.11,1385325,8.29,1641001,2.184560302,12427000,74.37
1,1,58,1952,70000,1230600,17.58,539700,7.71,690900,2.280155642,5205000,74.36
0,1,63,2009,69640,1364248,19.59,690132,9.91,674115,1.976792845,5178000,74.35
0,1,45,1967,39959,746834,18.69,360830,9.03,386004,2.069766926,2942000,73.63
1,1,54,1962,46500,754695,16.23,294345,6.33,460350,2.563981043,3409000,73.31
1,1,69,1953,61538,1060300,17.23,462766,7.52,597534,2.291222778,4484000,72.87
0,1,28,1912,26739,477024,17.84,220062,8.23,256962,2.167680017,1942000,72.63
0,1,71,1939,57994,1031133,17.78,474971,8.19,556162,2.170938857,4199000,72.4
0,1,65,1965,55800,1100934,19.73,576414,10.33,524520,1.909970958,4040000,72.4
0,1,129,1928,127566,2409722,18.89,1204223,9.44,1205499,2.001059604,9203000,72.14
1,1,441,1970,718399,12298991,17.12,5474200,7.62,6824791,2.246719338,51130000,71.17
0,1,54,1929,50000,967000,19.34,503000,10.06,464000,1.922465209,3556000,71.12
1,1,45,1962,43000,686280,15.96,274770,6.39,411510,2.497652582,3034000,70.56
0,1,101,1965,116222,1947881,16.76,860043,7.4,1087838,2.264864664,8112000,69.8
0,1,78,1955,77760,1243382,15.99,510883,6.57,732499,2.433790124,5401000,69.46
1,1,73,1958,111000,1692750,15.25,646020,5.82,1046730,2.620274914,7626000,68.7
0,1,52,1964,44329,846241,19.09,448609,10.12,397631,1.886366524,3043000,68.65
0,1,44,1926,40428,832008,20.58,474220,11.73,357788,1.754476825,2772000,68.57
1,1,130,1969,142000,2435300,17.15,1143100,8.05,1292200,2.130434783,9677000,68.15
1,1,69,1958,85117,1435073,16.86,664764,7.81,770309,2.158770631,5749000,67.54
1,1,49,1954,82500,1338150,16.22,589050,7.14,749100,2.271708683,5547000,67.24
1,1,52,1953,82559,1405154,17.02,667077,8.08,738077,2.10643449,5516000,66.81
1,1,44,1939,41068,668587,16.28,305546,7.44,363041,2.188171339,2688000,65.45
1,1,52,1954,64520,1106518,17.15,542613,8.41,563905,2.039239753,4222000,65.44
1,1,183,1961,213921,3660188,17.11,1796936,8.4,1863252,2.036905043,13961000,65.26
1,1,196,1963,255000,5079600,19.92,2991150,11.73,2088450,1.698209719,16102000,63.15
1,1,79,1954,104000,1802320,17.33,933920,8.98,868400,1.929844098,6523000,62.72
0,1,28,1912,32932,588824,17.88,316147,9.6,272677,1.862500672,2062000,62.61
0,1,201,1957,249258,4145161,16.63,2063856,8.28,2081304,2.008454563,15491000,62.15
1,1,159,1953,217360,3564704,16.4,1749748,8.05,1814956,2.037267081,13468000,61.96
1,1,72,1958,92640,1451669,15.67,675346,7.29,776323,2.149518913,5697000,61.5
1,1,462,1949,395000,5770950,14.61,2421350,6.13,3349600,2.383360522,24125000,61.08
0,1,42,1915,42000,700560,16.68,357840,8.52,342720,1.957746479,2552000,60.76
1,1,437,1961,404890,5923541,14.63,2518416,6.22,3405125,2.352089964,24546000,60.62
1,1,67,1970,83880,1346274,16.05,660974,7.88,685300,2.036803263,5061000,60.34
1,1,56,1954,59352,1001268,16.87,524078,8.83,477190,1.910532402,3568000,60.12
0,1,63,1960,59000,859040,14.56,371700,6.3,487340,2.311111111,3510000,59.49
0,1,191,1952,220000,3592600,16.33,1832600,8.33,1760000,1.960384154,13053000,59.33
0,1,130,1963,136913,2133105,15.58,1025478,7.49,1107626,2.080108008,8109000,59.23
1,1,60,1969,60829,908177,14.93,413637,6.8,494540,2.195589369,3581000,58.87
1,1,57,1956,68728,1072157,15.6,527144,7.67,545013,2.033897758,3997000,58.16
1,1,38,1954,47000,749180,15.94,381640,8.12,367540,1.963054187,2708000,57.62
0,1,172,1963,183600,2788884,15.19,1343952,7.32,1444932,2.075136612,10516000,57.28
0,1,117,1966,122000,1810480,14.84,847900,6.95,962580,2.135251799,6973000,57.16
0,1,30,1931,25176,385948,15.33,189324,7.52,196625,2.038558239,1435000,57
1,1,145,1953,201511,3383370,16.79,1845841,9.16,1537529,1.832969362,11475000,56.94
0,1,269,1962,289000,4719370,16.33,2499850,8.65,2219520,1.887861272,16438000,56.88
1,1,54,1950,51000,818550,16.05,426360,8.36,392190,1.919856459,2894000,56.75
0,1,190,1930,174400,3055488,17.52,1742256,9.99,1313232,1.753753754,9885000,56.68
1,1,108,1949,108700,1706590,15.7,870687,8.01,835903,1.960049938,6136000,56.45
1,1,77,1960,80120,1281119,15.99,668201,8.34,612918,1.917265913,4522000,56.44
1,1,64,1962,80000,1224800,15.31,610400,7.63,614400,2.00655308,4484000,56.05
0,1,208,1965,256000,3904000,15.25,1937920,7.57,1966080,2.014531044,14329000,55.97
0,1,188,1963,247530,4319399,17.45,2482726,10.03,1836673,1.739780789,13807000,55.78
0,1,36,1940,37350,576684,15.44,293198,7.85,283487,1.966875627,2072000,55.48
1,1,127,1951,186480,3069461,16.46,1678320,9,1391141,1.828889008,10325000,55.37
1,1,43,1953,65766,1020688,15.52,523497,7.96,497191,1.949749473,3641000,55.36
0,1,66,1970,67987,1006887,14.81,491546,7.23,515341,2.048408491,3725000,54.79
0,1,127,1958,109206,1671944,15.31,856175,7.84,815769,1.952806377,5950000,54.48
0,1,168,1952,140662,2152129,15.3,1107010,7.87,1045119,1.944091743,7624000,54.2
0,1,72,1974,75747,1218769,16.09,664301,8.77,554468,1.834663805,4094000,54.05
0,1,60,1928,66258,997183,15.05,504886,7.62,492297,1.975065658,3575000,53.96
1,1,123,1960,180000,2885400,16.03,1569600,8.72,1315800,1.838302752,9703000,53.91
1,1,412,1966,539000,7907130,14.67,3880800,7.2,4026330,2.0375,29050000,53.9
1,1,96,1961,130570,1920685,14.71,947938,7.26,972747,2.026171543,7026000,53.81
0,1,53,1964,43645,673442,15.43,352652,8.08,320791,1.909650307,2346000,53.75
1,1,129,1961,127000,1921510,15.13,984250,7.75,937260,1.952258065,6821000,53.71
0,1,26,1939,32150,572270,17.8,344327,10.71,227944,1.661995719,1721000,53.53
0,1,213,1965,232532,3718187,15.99,2043956,8.79,1674230,1.819113034,12339000,53.06
1,1,100,1960,129600,1910304,14.74,959040,7.4,951264,1.991891892,6870000,53.01
1,1,61,1953,72800,1053416,14.47,516880,7.1,536536,2.038028169,3855000,52.95
1,1,126,1939,139416,2046627,14.68,1023313,7.34,1023313,2.000000977,7378000,52.92
0,1,54,1942,55440,814414,14.69,408038,7.36,406375,1.99592685,2929000,52.83
0,1,43,1931,33000,567930,17.21,335610,10.17,232320,1.692232055,1743000,52.82
1,1,90,1955,115597,1822965,15.77,994134,8.6,828830,1.833721611,6092000,52.7
1,1,85,1934,147500,2368850,16.06,1317175,8.93,1051675,1.798432251,7760000,52.61
0,1,121,1964,153804,2237848,14.55,1113541,7.24,1124307,2.009668256,8088000,52.59
