Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt
2-02992-0073,1883 VYSE AVENUE,EAST TREMONT,C6  -WALK-UP,       16,1993,15840,251698,     15.89,102960,6.5,148738,1103000,     69.63
2-02992-0018,1898 DALY AVENUE,EAST TREMONT,C6  -WALK-UP,       16,1993,15840,259618,     16.39,157133,9.92,102485,766000,     48.36
2-03016-0005,1898 LONGFELLOW AVENUE,EAST TREMONT,C6  -WALK-UP,       17,1914,19250,306653,     15.93,78925,4.1,227728,1659000,     86.18
2-03016-0007,1900 LONGFELLOW AVENUE,EAST TREMONT,C6  -WALK-UP,       28,1931,27550,405812,     14.73,250154,9.08,155658,1132000,     41.09
2-02985-0023,1922 CROTONA PARKWAY,EAST TREMONT,D4  -ELEVATOR,       17,1911,27691,402350,     14.53,248942,8.99,153408,1111000,     40.12
2-03106-0044,1961 MAPES AVENUE,EAST TREMONT,C6  -WALK-UP,       24,1910,23550,301440,     12.80,135648,5.76,165792,1155000,     49.04
2-03130-0007,1962 VYSE AVENUE,EAST TREMONT,C6  -WALK-UP,       24,1992,23760,461657,     19.43,230947,9.72,230710,1786000,     75.17
2-03092-0006,1974 CROTONA AVENUE,EAST TREMONT,C6  -WALK-UP,       25,1927,24100,300527,     12.47,140985,5.85,159542,1102000,     45.73
2-03068-0006,1974 LAFONTAINE AVENUE,EAST TREMONT,C6  -WALK-UP,       49,1925,46800,829764,     17.73,398268,8.51,431496,3280000,     70.09
2-03127-0001,2000 DALY AVENUE,EAST TREMONT,C6  -WALK-UP,       50,1926,42455,479317,     11.29,212275,5,267042,1778000,     41.88
2-03080-0041,2023 BELMONT AVENUE,EAST TREMONT,D4  -ELEVATOR,       28,1912,26739,544139,     20.35,282899,10.58,261240,2037000,     76.18
2-03080-0004,2024 HUGHES AVENUE,EAST TREMONT,D4  -ELEVATOR,       28,1912,32932,567748,     17.24,274982,8.35,292765,2212000,     67.17
2-03069-0090,2039 HUGHES AVENUE,EAST TREMONT,C6  -WALK-UP,       12,1911,13200,203016,     15.38,111672,8.46,91344,672000,     50.91
2-03080-0082,2076 BELMONT AVENUE,EAST TREMONT,C6  -WALK-UP,       15,1925,14850,189783,     12.78,81230,5.47,108554,756000,     50.91
2-03069-0024,2089 ARTHUR AVENUE,EAST TREMONT,D4  -ELEVATOR,       56,1925,57530,1181666,     20.54,685758,11.92,495909,3872000,     67.30
